Season,RaceName,EventName,Country,Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,PitInTime,PitOutTime,Position,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,TrackStatus
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,1.0,87.835,1.0,MEDIUM,4.0,,,1.0,,30.727,37.013,291.0,229.0,184.0,285.0,False,14
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,2.0,112.329,1.0,MEDIUM,5.0,,,1.0,21.835,54.595,35.899,142.0,120.0,206.0,143.0,True,4
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,3.0,116.564,1.0,MEDIUM,6.0,,,1.0,26.061,43.423,47.08,162.0,171.0,233.0,235.0,False,41
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,4.0,69.799,1.0,MEDIUM,7.0,,,1.0,17.802,30.663,21.334,290.0,229.0,269.0,290.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,5.0,69.735,1.0,MEDIUM,8.0,,,1.0,17.619,30.77,21.346,290.0,231.0,269.0,287.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,6.0,69.451,1.0,MEDIUM,9.0,,,1.0,17.586,30.629,21.236,291.0,230.0,270.0,286.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,7.0,69.282,1.0,MEDIUM,10.0,,,1.0,17.447,30.707,21.128,292.0,230.0,269.0,284.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,8.0,69.327,1.0,MEDIUM,11.0,,,1.0,17.465,30.746,21.116,292.0,229.0,270.0,287.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,9.0,69.218,1.0,MEDIUM,12.0,,,1.0,17.536,30.618,21.064,294.0,231.0,269.0,287.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,10.0,69.091,1.0,MEDIUM,13.0,,,1.0,17.485,30.604,21.002,296.0,230.0,270.0,289.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,11.0,69.132,1.0,MEDIUM,14.0,,,1.0,17.589,30.525,21.018,296.0,232.0,271.0,291.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,12.0,69.145,1.0,MEDIUM,15.0,,,1.0,17.522,30.618,21.005,295.0,232.0,271.0,291.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,13.0,69.126,1.0,MEDIUM,16.0,,,1.0,17.514,30.618,20.994,296.0,232.0,273.0,289.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,14.0,69.1,1.0,MEDIUM,17.0,,,1.0,17.466,30.676,20.958,297.0,231.0,273.0,289.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,15.0,69.074,1.0,MEDIUM,18.0,,,1.0,17.48,30.56,21.034,296.0,232.0,272.0,290.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,16.0,69.07,1.0,MEDIUM,19.0,,,1.0,17.401,30.697,20.972,296.0,232.0,272.0,288.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,17.0,69.071,1.0,MEDIUM,20.0,,,1.0,17.447,30.592,21.032,297.0,235.0,272.0,290.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,18.0,69.206,1.0,MEDIUM,21.0,,,1.0,17.457,30.638,21.111,298.0,232.0,272.0,289.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,19.0,69.274,1.0,MEDIUM,22.0,,,1.0,17.45,30.696,21.128,297.0,232.0,273.0,290.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,20.0,69.355,1.0,MEDIUM,23.0,,,1.0,17.473,30.775,21.107,295.0,233.0,272.0,290.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,21.0,69.252,1.0,MEDIUM,24.0,,,1.0,17.427,30.722,21.103,296.0,231.0,271.0,291.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,22.0,69.328,1.0,MEDIUM,25.0,,,1.0,17.482,30.689,21.157,296.0,233.0,271.0,288.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,23.0,69.494,1.0,MEDIUM,26.0,,,1.0,17.52,30.76,21.214,297.0,231.0,273.0,289.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,24.0,69.5,1.0,MEDIUM,27.0,,,1.0,17.45,30.851,21.199,298.0,233.0,282.0,290.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,25.0,68.882,1.0,MEDIUM,28.0,,,1.0,16.963,30.817,21.102,312.0,232.0,274.0,291.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,26.0,69.611,1.0,MEDIUM,29.0,,,1.0,17.397,30.96,21.254,300.0,229.0,272.0,294.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,27.0,69.323,1.0,MEDIUM,30.0,,,1.0,17.49,30.695,21.138,298.0,233.0,272.0,292.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,28.0,69.304,1.0,MEDIUM,31.0,,,1.0,17.482,30.729,21.093,298.0,232.0,272.0,293.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,29.0,69.498,1.0,MEDIUM,32.0,,,1.0,17.475,30.729,21.294,300.0,231.0,273.0,292.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,30.0,69.515,1.0,MEDIUM,33.0,,,1.0,17.416,30.888,21.211,302.0,231.0,275.0,294.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,31.0,69.63,1.0,MEDIUM,34.0,,,1.0,17.302,30.958,21.37,302.0,232.0,275.0,295.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,32.0,73.134,1.0,MEDIUM,35.0,6043.035,,1.0,17.401,31.087,24.646,305.0,231.0,,298.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,33.0,85.451,2.0,HARD,1.0,,6064.19,1.0,34.067,30.486,20.898,295.0,235.0,273.0,292.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,34.0,68.473,2.0,HARD,2.0,,,1.0,17.367,30.256,20.85,300.0,236.0,274.0,296.0,True,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,35.0,68.728,2.0,HARD,3.0,,,1.0,17.364,30.51,20.854,298.0,235.0,274.0,293.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,36.0,68.769,2.0,HARD,4.0,,,1.0,17.43,30.509,20.83,295.0,235.0,275.0,290.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,37.0,68.904,2.0,HARD,5.0,,,1.0,17.369,30.61,20.925,294.0,236.0,275.0,290.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,38.0,68.714,2.0,HARD,6.0,,,1.0,17.301,30.476,20.937,297.0,236.0,275.0,292.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,39.0,68.641,2.0,HARD,7.0,,,1.0,17.25,30.544,20.847,298.0,237.0,276.0,294.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,40.0,69.147,2.0,HARD,8.0,,,1.0,17.28,30.871,20.996,299.0,236.0,283.0,295.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,41.0,68.887,2.0,HARD,9.0,,,1.0,17.22,30.738,20.929,294.0,237.0,274.0,292.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,42.0,68.822,2.0,HARD,10.0,,,1.0,17.233,30.656,20.933,298.0,236.0,275.0,293.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,43.0,68.887,2.0,HARD,11.0,,,1.0,17.309,30.636,20.942,300.0,239.0,276.0,297.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,44.0,68.88,2.0,HARD,12.0,,,1.0,17.165,30.751,20.964,303.0,236.0,286.0,298.0,False,1
2021,Austria,Austrian Grand Prix,Austria,VER,Red Bull Racing,45.0,69.429,2.0,HARD,13.0,,,1.0,16.749,31.456,21.224,317.0,226.0,275.0,315.0,False,1
