Season,RaceName,EventName,Country,Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,PitInTime,PitOutTime,Position,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,TrackStatus
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,1.0,100.236,1.0,SOFT,4.0,,,2.0,,42.325,24.389,230.0,254.0,274.0,250.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,2.0,97.88,1.0,SOFT,5.0,,,2.0,31.285,42.269,24.326,230.0,252.0,276.0,296.0,True,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,3.0,98.357,1.0,SOFT,6.0,,,2.0,31.499,42.474,24.384,229.0,254.0,276.0,294.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,4.0,98.566,1.0,SOFT,7.0,,,2.0,31.342,42.674,24.55,231.0,250.0,276.0,297.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,5.0,98.877,1.0,SOFT,8.0,,,2.0,31.498,42.854,24.525,229.0,256.0,276.0,293.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,6.0,98.94,1.0,SOFT,9.0,,,2.0,31.572,42.759,24.609,229.0,255.0,275.0,288.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,7.0,99.062,1.0,SOFT,10.0,,,2.0,31.637,42.845,24.58,228.0,253.0,276.0,289.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,8.0,99.092,1.0,SOFT,11.0,,,2.0,31.616,42.875,24.601,229.0,253.0,276.0,290.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,9.0,99.251,1.0,SOFT,12.0,,,2.0,31.625,42.957,24.669,228.0,252.0,276.0,288.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,10.0,99.392,1.0,SOFT,13.0,,,2.0,31.736,43.051,24.605,228.0,248.0,275.0,288.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,11.0,99.479,1.0,SOFT,14.0,,,2.0,31.749,43.09,24.64,227.0,251.0,276.0,289.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,12.0,99.41,1.0,SOFT,15.0,,,2.0,31.702,43.076,24.632,229.0,249.0,276.0,294.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,13.0,99.534,1.0,SOFT,16.0,,,2.0,31.809,43.082,24.643,228.0,251.0,275.0,290.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,14.0,102.05,1.0,SOFT,17.0,5143.479,,2.0,31.831,43.137,27.082,229.0,253.0,,292.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,15.0,117.409,2.0,SOFT,1.0,,5168.393,4.0,52.162,41.525,23.722,227.0,257.0,276.0,208.0,False,12
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,16.0,96.905,2.0,SOFT,2.0,,,2.0,30.944,41.97,23.991,231.0,260.0,286.0,300.0,True,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,17.0,97.587,2.0,SOFT,3.0,,,2.0,30.898,42.382,24.307,233.0,258.0,286.0,313.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,18.0,97.717,2.0,SOFT,4.0,,,2.0,30.951,42.567,24.199,228.0,259.0,286.0,327.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,19.0,97.728,2.0,SOFT,5.0,,,2.0,31.192,42.236,24.3,229.0,261.0,278.0,327.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,20.0,98.257,2.0,SOFT,6.0,,,2.0,31.433,42.521,24.303,229.0,254.0,278.0,286.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,21.0,98.294,2.0,SOFT,7.0,,,2.0,31.331,42.577,24.386,230.0,249.0,278.0,282.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,22.0,98.243,2.0,SOFT,8.0,,,2.0,31.35,42.566,24.327,230.0,256.0,278.0,289.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,23.0,98.091,2.0,SOFT,9.0,,,2.0,31.24,42.458,24.393,231.0,259.0,277.0,294.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,24.0,98.187,2.0,SOFT,10.0,,,2.0,31.187,42.582,24.418,232.0,258.0,278.0,295.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,25.0,98.372,2.0,SOFT,11.0,,,2.0,31.252,42.743,24.377,233.0,258.0,277.0,295.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,26.0,98.476,2.0,SOFT,12.0,,,2.0,31.444,42.584,24.448,233.0,258.0,276.0,298.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,27.0,98.823,2.0,SOFT,13.0,,,2.0,31.415,42.87,24.538,232.0,258.0,277.0,299.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,28.0,98.782,2.0,SOFT,14.0,,,2.0,31.496,42.824,24.462,232.0,259.0,278.0,298.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,29.0,99.384,2.0,SOFT,15.0,,,2.0,31.569,43.286,24.529,232.0,258.0,279.0,298.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,30.0,101.537,2.0,SOFT,16.0,6737.298,,2.0,31.548,43.074,26.915,233.0,258.0,,300.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,31.0,117.239,3.0,MEDIUM,1.0,,6762.243,4.0,52.026,41.486,23.727,232.0,256.0,279.0,218.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,32.0,96.527,3.0,MEDIUM,2.0,,,4.0,30.783,41.843,23.901,234.0,251.0,281.0,294.0,True,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,33.0,96.347,3.0,MEDIUM,3.0,,,4.0,30.817,41.723,23.807,229.0,263.0,281.0,299.0,True,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,34.0,96.384,3.0,MEDIUM,4.0,,,2.0,30.72,41.701,23.963,235.0,260.0,280.0,302.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,35.0,96.731,3.0,MEDIUM,5.0,,,2.0,30.946,41.892,23.893,234.0,262.0,281.0,301.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,36.0,96.92,3.0,MEDIUM,6.0,,,2.0,30.961,41.889,24.07,233.0,263.0,279.0,304.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,37.0,96.962,3.0,MEDIUM,7.0,,,2.0,30.907,42.037,24.018,234.0,262.0,280.0,302.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,38.0,96.898,3.0,MEDIUM,8.0,,,2.0,30.949,41.961,23.988,234.0,265.0,281.0,304.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,39.0,97.255,3.0,MEDIUM,9.0,,,2.0,31.111,42.043,24.101,234.0,263.0,279.0,302.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,40.0,97.308,3.0,MEDIUM,10.0,,,2.0,31.099,42.07,24.139,233.0,264.0,280.0,302.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,41.0,97.284,3.0,MEDIUM,11.0,,,2.0,31.044,42.055,24.185,234.0,263.0,280.0,302.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,42.0,97.855,3.0,MEDIUM,12.0,,,2.0,31.209,42.5,24.146,233.0,261.0,280.0,304.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,43.0,99.787,3.0,MEDIUM,13.0,8020.852,,2.0,31.188,42.249,26.35,234.0,260.0,,305.0,False,1
2022,Bahrain,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,44.0,117.242,4.0,SOFT,4.0,,8045.204,3.0,51.908,41.766,23.568,231.0,259.0,280.0,212.0,False,1
