Season,RaceName,Country,Compound,avg_lap_time_sec,fastest_lap_sec,lap_time_consistency,avg_tyre_life_laps,total_laps_on_compound
2021,Abu Dhabi,Abu Dhabi,HARD,92.619,86.103,10.049,16.8,560
2021,Abu Dhabi,Abu Dhabi,MEDIUM,92.848,86.762,9.003,13.3,272
2021,Abu Dhabi,Abu Dhabi,SOFT,97.026,86.618,15.701,10.4,157
2021,Austria,Austria,HARD,70.642,66.2,4.827,17.6,849
2021,Austria,Austria,MEDIUM,73.881,67.762,10.48,17.6,431
2021,Austria,Austria,SOFT,79.048,70.383,14.466,10.6,56
2021,Azerbaijan,Azerbaijan,HARD,110.01,104.481,8.637,16.5,598
2021,Azerbaijan,Azerbaijan,SOFT,111.259,104.703,7.807,8.0,211
2021,Azerbaijan,Azerbaijan,MEDIUM,112.131,108.499,5.399,6.0,23
2021,Bahrain,Bahrain,HARD,97.03,93.228,5.067,11.4,418
2021,Bahrain,Bahrain,MEDIUM,100.489,92.09,10.399,10.9,489
2021,Bahrain,Bahrain,SOFT,108.133,96.906,16.413,9.0,111
2021,Britain,Great Britain,HARD,93.744,89.699,4.882,14.7,512
2021,Britain,Great Britain,SOFT,95.906,88.617,10.669,4.0,9
2021,Britain,Great Britain,MEDIUM,96.944,90.0,10.658,12.4,404
2021,Emilia Romagna,Italy,SOFT,83.357,78.259,11.056,16.1,162
2021,Emilia Romagna,Italy,MEDIUM,85.576,76.702,13.184,16.7,437
2021,Emilia Romagna,Italy,INTERMEDIATE,101.45,86.456,19.294,13.2,464
2021,Emilia Romagna,Italy,WET,120.982,97.121,19.35,6.3,31
2021,France,France,SOFT,98.731,97.828,0.972,10.0,19
2021,France,France,HARD,100.298,96.693,3.037,17.1,644
2021,France,France,MEDIUM,101.236,96.404,4.542,12.3,388
2021,Hungary,Hungary,HARD,83.484,80.359,3.341,20.1,524
2021,Hungary,Hungary,SOFT,84.154,78.394,6.674,8.1,18
2021,Hungary,Hungary,MEDIUM,85.847,78.715,8.253,14.4,392
2021,Hungary,Hungary,INTERMEDIATE,128.383,109.712,8.884,1.1,16
2021,Italy,Italy,MEDIUM,89.878,84.827,9.275,13.4,445
2021,Italy,Italy,HARD,91.033,84.812,12.563,14.7,405
2021,Italy,Italy,SOFT,111.985,87.202,15.079,4.2,6
2021,Mexico City,Mexico,HARD,83.029,78.999,5.136,20.9,697
2021,Mexico City,Mexico,MEDIUM,87.492,79.761,13.658,18.6,542
2021,Mexico City,Mexico,SOFT,94.244,77.774,17.589,6.8,20
2021,Monaco,Monaco,HARD,76.736,74.578,2.103,23.5,714
2021,Monaco,Monaco,SOFT,77.946,72.909,3.687,19.3,466
2021,Monaco,Monaco,MEDIUM,78.668,75.316,3.507,20.6,238
2021,Netherlands,Netherlands,MEDIUM,76.966,73.124,3.452,18.0,522
2021,Netherlands,Netherlands,HARD,77.074,73.275,3.903,18.7,453
2021,Netherlands,Netherlands,SOFT,77.367,71.097,3.509,16.6,386
2021,Portugal,Portugal,HARD,83.74,80.695,4.344,18.4,429
2021,Portugal,Portugal,MEDIUM,88.49,81.613,13.677,20.3,623
2021,Portugal,Portugal,SOFT,91.494,79.849,16.124,15.2,192
2021,Qatar,Qatar,HARD,89.439,86.358,4.954,14.8,412
2021,Qatar,Qatar,MEDIUM,90.763,84.031,4.977,13.8,465
2021,Qatar,Qatar,SOFT,92.844,83.196,5.57,12.8,234
2021,Russia,Russia,HARD,102.563,97.423,5.252,16.3,606
2021,Russia,Russia,MEDIUM,103.794,98.216,5.736,9.8,344
2021,Russia,Russia,INTERMEDIATE,120.208,108.907,10.501,4.0,67
2021,Saudi Arabia,Saudi Arabia,SOFT,98.576,91.633,9.216,7.3,15
2021,Saudi Arabia,Saudi Arabia,MEDIUM,99.914,91.408,11.232,14.9,382
2021,Saudi Arabia,Saudi Arabia,HARD,100.598,90.734,12.638,19.3,334
2021,Spain,Spain,MEDIUM,85.069,80.665,4.794,15.2,629
2021,Spain,Spain,SOFT,87.488,78.149,9.969,13.4,616
2021,São Paulo,Brazil,HARD,76.808,71.982,6.908,16.3,746
2021,São Paulo,Brazil,MEDIUM,83.016,72.621,15.91,14.1,608
2021,São Paulo,Brazil,SOFT,83.232,71.01,9.653,3.2,6
2021,Turkey,Turkey,INTERMEDIATE,95.786,90.432,3.346,17.1,1146
2021,USA,Qatar,HARD,89.439,86.358,4.954,14.8,412
2021,USA,Qatar,MEDIUM,90.763,84.031,4.977,13.8,465
2021,USA,Qatar,SOFT,92.844,83.196,5.57,12.8,234
2022,Abu Dhabi,Abu Dhabi,HARD,91.968,88.879,4.319,15.2,618
2022,Abu Dhabi,Abu Dhabi,MEDIUM,92.485,88.391,3.569,10.1,452
2022,Abu Dhabi,Abu Dhabi,SOFT,92.624,89.489,4.579,8.6,47
2022,Australia,Australia,HARD,89.744,80.26,14.962,19.6,716
2022,Australia,Australia,MEDIUM,94.491,80.846,17.399,10.3,309
2022,Austria,Austria,HARD,72.436,68.683,3.972,13.7,626
2022,Austria,Austria,MEDIUM,72.498,67.275,5.434,10.7,399
2022,Azerbaijan,Azerbaijan,SOFT,111.154,107.523,10.925,9.5,12
2022,Azerbaijan,Azerbaijan,HARD,111.647,106.046,7.01,14.6,603
2022,Azerbaijan,Azerbaijan,MEDIUM,112.437,108.038,6.549,8.1,257
2022,Bahrain,Bahrain,HARD,100.861,97.324,5.863,8.5,104
2022,Bahrain,Bahrain,MEDIUM,101.733,96.347,6.941,8.9,345
2022,Bahrain,Bahrain,SOFT,103.827,94.57,10.77,9.3,669
2022,Belgium,Belgium,HARD,115.516,110.764,4.268,9.3,258
2022,Belgium,Belgium,SOFT,115.74,109.984,5.658,8.4,88
2022,Belgium,Belgium,MEDIUM,116.289,109.354,5.574,7.9,406
2022,Britain,Great Britain,HARD,96.822,91.282,8.117,9.9,179
2022,Britain,Great Britain,SOFT,98.884,90.51,15.02,8.2,198
2022,Britain,Great Britain,MEDIUM,98.944,92.079,17.388,13.6,396
2022,Canada,Canada,HARD,82.46,75.749,10.597,17.7,906
2022,Canada,Canada,MEDIUM,84.323,75.901,12.176,10.7,356
2022,Emilia Romagna,Italy,SOFT,82.784,78.446,8.39,5.9,49
2022,Emilia Romagna,Italy,MEDIUM,83.267,80.224,5.89,21.9,722
2022,Emilia Romagna,Italy,HARD,83.482,81.577,5.185,16.5,32
2022,Emilia Romagna,Italy,INTERMEDIATE,103.008,89.917,17.895,9.5,323
2022,France,France,MEDIUM,102.417,95.781,7.827,10.0,357
2022,France,France,HARD,102.584,97.491,9.673,15.8,588
2022,Hungary,Hungary,MEDIUM,86.173,81.94,5.465,13.5,753
2022,Hungary,Hungary,HARD,86.521,82.456,5.08,17.6,272
2022,Hungary,Hungary,SOFT,87.796,81.386,7.858,10.8,357
2022,Italy,Italy,MEDIUM,89.097,84.745,5.642,13.9,423
2022,Italy,Italy,HARD,89.726,85.288,7.979,15.9,292
2022,Italy,Italy,SOFT,96.39,84.03,17.315,8.9,253
2022,Japan,Japan,INTERMEDIATE,111.93,104.411,9.796,9.5,394
2022,Japan,Japan,WET,116.16,110.761,2.866,5.0,38
2022,Mexico City,Mexico,MEDIUM,84.743,81.775,2.947,20.1,706
2022,Mexico City,Mexico,HARD,84.861,81.956,4.11,17.9,236
2022,Mexico City,Mexico,SOFT,85.12,80.153,3.806,15.6,436
2022,Miami,United States,HARD,97.856,91.361,9.702,18.0,592
2022,Miami,United States,MEDIUM,97.885,91.819,9.03,11.1,384
2022,Miami,United States,SOFT,101.795,93.035,14.845,9.9,46
2022,Monaco,Monaco,SOFT,79.31,75.334,5.602,4.0,7
2022,Monaco,Monaco,MEDIUM,81.929,74.693,10.211,16.5,341
2022,Monaco,Monaco,HARD,88.722,76.249,15.155,21.5,374
2022,Monaco,Monaco,INTERMEDIATE,97.529,84.805,10.583,9.3,114
2022,Monaco,Monaco,WET,106.633,91.38,21.301,9.5,282
2022,Netherlands,Netherlands,MEDIUM,79.491,73.854,8.655,12.2,512
2022,Netherlands,Netherlands,HARD,80.812,74.445,9.026,12.2,331
2022,Netherlands,Netherlands,SOFT,81.927,73.652,13.592,10.7,545
2022,Saudi Arabia,Saudi Arabia,MEDIUM,98.21,92.779,6.971,8.0,259
2022,Saudi Arabia,Saudi Arabia,HARD,99.71,91.634,12.716,18.7,513
2022,Singapore,Singapore,SOFT,115.277,106.458,8.077,10.8,96
2022,Singapore,Singapore,MEDIUM,115.831,108.165,9.674,13.5,215
2022,Singapore,Singapore,INTERMEDIATE,125.307,116.259,7.636,16.8,526
2022,Spain,Spain,SOFT,90.039,84.108,4.537,10.8,683
2022,Spain,Spain,MEDIUM,90.093,85.456,4.583,11.4,512
2022,Spain,Spain,HARD,90.391,87.746,3.76,18.0,35
2022,São Paulo,Brazil,MEDIUM,82.302,74.283,12.354,11.0,596
2022,São Paulo,Brazil,SOFT,84.66,73.785,14.944,13.4,644
2022,São Paulo,Brazil,HARD,89.463,77.341,17.516,5.5,16
