Season,RaceName,Country,Driver,Team,avg_lap_time_sec,best_lap_sec,pace_consistency,total_laps_completed,worst_position,best_position,personal_best_laps,pace_vs_field
2021,Abu Dhabi,Abu Dhabi,GIO,Alfa Romeo Racing,91.524,89.442,4.004,33,18.0,11.0,9,-1.806
2021,Abu Dhabi,Abu Dhabi,PER,Red Bull Racing,91.865,86.419,10.305,55,5.0,1.0,12,-1.465
2021,Abu Dhabi,Abu Dhabi,RUS,Williams,92.184,90.647,2.37,25,19.0,14.0,9,-1.146
2021,Abu Dhabi,Abu Dhabi,LAT,Williams,92.31,89.293,4.998,50,17.0,13.0,11,-1.02
2021,Abu Dhabi,Abu Dhabi,VER,Red Bull Racing,92.402,86.103,13.362,57,4.0,1.0,16,-0.928
2021,Abu Dhabi,Abu Dhabi,HAM,Mercedes,92.413,86.615,13.682,57,2.0,1.0,15,-0.917
2021,Abu Dhabi,Abu Dhabi,NOR,McLaren,93.411,86.762,11.76,57,13.0,5.0,25,0.081
2021,Abu Dhabi,Abu Dhabi,ALO,Alpine,93.457,87.607,11.079,57,11.0,4.0,23,0.127
2021,Abu Dhabi,Abu Dhabi,SAI,Ferrari,93.492,87.618,11.347,58,8.0,3.0,16,0.162
2021,Abu Dhabi,Abu Dhabi,TSU,AlphaTauri,93.501,87.496,10.805,58,10.0,3.0,22,0.171
2021,Abu Dhabi,Abu Dhabi,OCO,Alpine,93.506,88.249,10.89,57,18.0,9.0,15,0.176
2021,Abu Dhabi,Abu Dhabi,GAS,AlphaTauri,93.515,87.342,10.222,58,12.0,5.0,25,0.185
2021,Abu Dhabi,Abu Dhabi,BOT,Mercedes,93.531,86.862,11.223,58,9.0,3.0,18,0.201
2021,Abu Dhabi,Abu Dhabi,LEC,Ferrari,93.539,88.338,11.324,57,16.0,6.0,13,0.209
2021,Abu Dhabi,Abu Dhabi,VET,Aston Martin,93.585,88.303,10.455,57,16.0,9.0,17,0.255
2021,Abu Dhabi,Abu Dhabi,RIC,McLaren,94.114,88.723,12.32,56,17.0,8.0,10,0.784
2021,Abu Dhabi,Abu Dhabi,RAI,Alfa Romeo Racing,94.544,89.698,11.001,25,19.0,11.0,9,1.214
2021,Abu Dhabi,Abu Dhabi,STR,Aston Martin,95.181,88.567,13.369,57,17.0,10.0,17,1.851
2021,Abu Dhabi,Abu Dhabi,MSC,Haas F1 Team,95.192,89.457,11.519,57,19.0,14.0,9,1.862
2021,Austria,Austria,VER,Red Bull Racing,70.909,66.2,8.298,71,1.0,1.0,18,-1.136
2021,Austria,Austria,BOT,Mercedes,71.162,68.374,7.811,71,5.0,2.0,10,-0.883
2021,Austria,Austria,NOR,McLaren,71.191,68.471,8.107,71,4.0,2.0,11,-0.854
2021,Austria,Austria,HAM,Mercedes,71.563,68.126,7.956,71,4.0,2.0,13,-0.482
2021,Austria,Austria,PER,Red Bull Racing,71.584,68.192,7.807,71,10.0,3.0,15,-0.461
2021,Austria,Austria,SAI,Ferrari,71.714,67.762,7.803,71,14.0,5.0,23,-0.331
2021,Austria,Austria,RIC,McLaren,71.76,68.82,7.675,71,12.0,5.0,19,-0.285
2021,Austria,Austria,LEC,Ferrari,71.771,68.698,7.675,71,11.0,5.0,15,-0.274
2021,Austria,Austria,GAS,AlphaTauri,71.78,68.146,7.964,71,18.0,5.0,15,-0.265
2021,Austria,Austria,ALO,Alpine,72.08,68.405,7.949,70,16.0,9.0,18,0.035
2021,Austria,Austria,RUS,Williams,72.16,68.9,7.7,70,16.0,9.0,18,0.115
2021,Austria,Austria,VET,Aston Martin,72.204,68.42,7.888,69,18.0,5.0,14,0.159
2021,Austria,Austria,TSU,AlphaTauri,72.242,68.455,8.105,70,19.0,6.0,16,0.197
2021,Austria,Austria,STR,Aston Martin,72.337,68.659,7.893,70,19.0,6.0,15,0.292
2021,Austria,Austria,GIO,Alfa Romeo Racing,72.451,69.042,8.349,70,19.0,12.0,15,0.406
2021,Austria,Austria,LAT,Williams,72.541,68.874,7.905,70,18.0,12.0,22,0.496
2021,Austria,Austria,RAI,Alfa Romeo Racing,72.563,68.52,8.456,70,16.0,6.0,20,0.518
2021,Austria,Austria,MSC,Haas F1 Team,73.051,69.394,7.914,69,18.0,15.0,13,1.006
2021,Austria,Austria,MAZ,Haas F1 Team,73.791,69.757,8.23,69,19.0,16.0,15,1.746
2021,Azerbaijan,Azerbaijan,VER,Red Bull Racing,107.443,104.481,5.014,41,3.0,1.0,15,-3.346
2021,Azerbaijan,Azerbaijan,STR,Aston Martin,108.112,106.207,3.327,29,16.0,4.0,18,-2.677
2021,Azerbaijan,Azerbaijan,PER,Red Bull Racing,108.295,104.687,6.878,44,4.0,1.0,17,-2.494
2021,Azerbaijan,Azerbaijan,HAM,Mercedes,108.564,104.769,7.161,44,16.0,1.0,12,-2.225
2021,Azerbaijan,Azerbaijan,GAS,AlphaTauri,108.983,105.22,6.752,44,6.0,3.0,16,-1.806
2021,Azerbaijan,Azerbaijan,VET,Aston Martin,109.017,104.89,7.11,44,9.0,1.0,19,-1.772
2021,Azerbaijan,Azerbaijan,LEC,Ferrari,109.102,105.382,6.742,44,10.0,1.0,17,-1.687
2021,Azerbaijan,Azerbaijan,TSU,AlphaTauri,109.307,104.939,7.326,44,12.0,6.0,16,-1.482
2021,Azerbaijan,Azerbaijan,NOR,McLaren,109.607,105.326,7.973,44,17.0,5.0,10,-1.182
2021,Azerbaijan,Azerbaijan,BOT,Mercedes,109.623,105.665,6.745,44,14.0,6.0,15,-1.166
2021,Azerbaijan,Azerbaijan,SAI,Ferrari,110.067,105.7,8.531,44,15.0,5.0,12,-0.722
2021,Azerbaijan,Azerbaijan,RIC,McLaren,110.863,105.713,10.144,45,13.0,8.0,20,0.074
2021,Azerbaijan,Azerbaijan,RUS,Williams,111.729,105.959,9.321,44,20.0,14.0,19,0.94
2021,Azerbaijan,Azerbaijan,ALO,Alpine,112.04,105.624,10.763,46,14.0,6.0,13,1.251
2021,Azerbaijan,Azerbaijan,LAT,Williams,112.041,106.608,8.687,46,17.0,13.0,16,1.252
2021,Azerbaijan,Azerbaijan,GIO,Alfa Romeo Racing,112.084,105.575,10.413,46,19.0,11.0,17,1.295
2021,Azerbaijan,Azerbaijan,RAI,Alfa Romeo Racing,112.148,105.601,10.365,46,15.0,8.0,15,1.359
2021,Azerbaijan,Azerbaijan,MSC,Haas F1 Team,112.256,107.624,8.473,45,19.0,14.0,9,1.467
2021,Azerbaijan,Azerbaijan,MAZ,Haas F1 Team,113.933,107.747,9.209,45,19.0,14.0,14,3.144
2021,Azerbaijan,Azerbaijan,OCO,Alpine,120.568,110.85,9.988,3,18.0,11.0,1,9.779
2021,Bahrain,Bahrain,VER,Red Bull Racing,97.575,93.228,7.978,55,2.0,1.0,6,-2.393
2021,Bahrain,Bahrain,HAM,Mercedes,97.586,94.015,8.125,55,4.0,1.0,7,-2.382
2021,Bahrain,Bahrain,BOT,Mercedes,98.311,92.09,8.991,55,5.0,2.0,16,-1.657
2021,Bahrain,Bahrain,NOR,McLaren,98.514,94.396,8.412,55,13.0,3.0,10,-1.454
2021,Bahrain,Bahrain,LEC,Ferrari,98.687,94.988,7.972,55,14.0,3.0,10,-1.281
2021,Bahrain,Bahrain,RIC,McLaren,98.888,94.932,8.38,55,11.0,4.0,9,-1.08
2021,Bahrain,Bahrain,PER,Red Bull Racing,99.57,93.97,11.275,56,19.0,3.0,13,-0.398
2021,Bahrain,Bahrain,SAI,Ferrari,99.839,94.509,10.816,56,11.0,3.0,9,-0.129
2021,Bahrain,Bahrain,TSU,AlphaTauri,100.171,94.761,11.006,56,16.0,6.0,10,0.203
