Season,RaceName,Country,Driver,Team,LapNumber,Stint,Compound,TyreLife,PitInTime,Position,position_before_pit,position_3laps_after_pit,positions_gained,undercut_successful,strategy_outcome
2021,Abu Dhabi,Abu Dhabi,ALO,Alpine,36.0,1.0,HARD,37.0,7026.384,4.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,BOT,Mercedes,30.0,1.0,MEDIUM,35.0,6450.752,4.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,GAS,AlphaTauri,36.0,1.0,HARD,36.0,7027.35,5.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,GAS,AlphaTauri,54.0,2.0,MEDIUM,21.0,8696.738,6.0,5.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,GIO,Alfa Romeo Racing,17.0,1.0,MEDIUM,17.0,5300.811,12.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,HAM,Mercedes,14.0,1.0,MEDIUM,17.0,4985.036,1.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,LAT,Williams,28.0,1.0,MEDIUM,28.0,6318.551,16.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,LEC,Ferrari,15.0,1.0,SOFT,18.0,5108.752,8.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,LEC,Ferrari,35.0,2.0,HARD,20.0,6924.615,9.0,8.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,MSC,Haas F1 Team,10.0,1.0,SOFT,10.0,4675.97,19.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,MSC,Haas F1 Team,52.0,2.0,HARD,42.0,8562.644,15.0,19.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,NOR,McLaren,17.0,1.0,SOFT,20.0,5285.092,5.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,NOR,McLaren,48.0,2.0,HARD,31.0,8106.969,6.0,5.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,OCO,Alpine,15.0,1.0,SOFT,18.0,5114.099,10.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,PER,Red Bull Racing,21.0,1.0,SOFT,24.0,5635.684,3.0,,3.0,,,Unknown
2021,Abu Dhabi,Abu Dhabi,PER,Red Bull Racing,36.0,2.0,HARD,15.0,7001.179,3.0,3.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,PER,Red Bull Racing,53.0,3.0,HARD,17.0,8529.875,3.0,3.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,PER,Red Bull Racing,55.0,4.0,SOFT,5.0,8793.514,3.0,3.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,RAI,Alfa Romeo Racing,21.0,1.0,MEDIUM,21.0,5669.994,13.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,RAI,Alfa Romeo Racing,25.0,2.0,HARD,4.0,6104.655,19.0,13.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,RIC,McLaren,18.0,1.0,SOFT,21.0,5387.666,9.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,RIC,McLaren,52.0,2.0,HARD,34.0,8498.666,11.0,9.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,SAI,Ferrari,19.0,1.0,SOFT,22.0,5459.433,4.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,STR,Aston Martin,21.0,1.0,MEDIUM,21.0,5665.91,11.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,STR,Aston Martin,52.0,2.0,HARD,31.0,8515.92,14.0,11.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,TSU,AlphaTauri,23.0,1.0,MEDIUM,27.0,5825.775,4.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,TSU,AlphaTauri,53.0,2.0,HARD,30.0,8582.376,6.0,4.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,VER,Red Bull Racing,13.0,1.0,SOFT,16.0,4903.157,2.0,,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,VER,Red Bull Racing,36.0,2.0,HARD,23.0,6966.936,2.0,2.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,VER,Red Bull Racing,53.0,3.0,HARD,17.0,8497.624,2.0,2.0,,,,Unknown
2021,Abu Dhabi,Abu Dhabi,VET,Aston Martin,23.0,1.0,MEDIUM,23.0,5843.727,10.0,,,,,Unknown
2021,Austria,Austria,ALO,Alpine,32.0,1.0,MEDIUM,32.0,6101.452,11.0,,,,,Unknown
2021,Austria,Austria,BOT,Mercedes,30.0,1.0,MEDIUM,33.0,5922.092,4.0,,,,,Unknown
2021,Austria,Austria,GAS,AlphaTauri,13.0,1.0,SOFT,16.0,4745.067,5.0,,,,,Unknown
2021,Austria,Austria,GAS,AlphaTauri,45.0,2.0,HARD,32.0,7009.237,9.0,5.0,,,,Unknown
2021,Austria,Austria,GIO,Alfa Romeo Racing,1.0,1.0,MEDIUM,1.0,3822.894,12.0,,,,,Unknown
2021,Austria,Austria,GIO,Alfa Romeo Racing,29.0,2.0,HARD,28.0,5898.952,17.0,12.0,,,,Unknown
2021,Austria,Austria,HAM,Mercedes,31.0,1.0,MEDIUM,34.0,5986.03,2.0,,,,,Unknown
2021,Austria,Austria,HAM,Mercedes,53.0,2.0,HARD,22.0,7533.537,4.0,2.0,,,,Unknown
2021,Austria,Austria,LAT,Williams,33.0,1.0,MEDIUM,33.0,6182.401,14.0,,,,,Unknown
2021,Austria,Austria,LEC,Ferrari,34.0,1.0,MEDIUM,37.0,6227.934,6.0,,,,,Unknown
2021,Austria,Austria,MAZ,Haas F1 Team,27.0,1.0,MEDIUM,27.0,5775.507,19.0,,,,,Unknown
2021,Austria,Austria,MAZ,Haas F1 Team,45.0,2.0,HARD,18.0,7078.815,19.0,19.0,,,,Unknown
2021,Austria,Austria,MSC,Haas F1 Team,34.0,1.0,MEDIUM,34.0,6267.351,16.0,,,,,Unknown
2021,Austria,Austria,NOR,McLaren,30.0,1.0,MEDIUM,33.0,5920.273,3.0,,,,,Unknown
2021,Austria,Austria,PER,Red Bull Racing,32.0,1.0,MEDIUM,35.0,6088.436,7.0,,,,,Unknown
2021,Austria,Austria,RAI,Alfa Romeo Racing,37.0,1.0,HARD,37.0,6451.007,9.0,,,,,Unknown
2021,Austria,Austria,RIC,McLaren,29.0,1.0,MEDIUM,29.0,5875.732,7.0,,,,,Unknown
2021,Austria,Austria,RUS,Williams,30.0,1.0,MEDIUM,33.0,5957.103,10.0,,,,,Unknown
2021,Austria,Austria,SAI,Ferrari,48.0,1.0,HARD,48.0,7208.02,5.0,,,,,Unknown
2021,Austria,Austria,STR,Aston Martin,14.0,1.0,SOFT,17.0,4820.75,9.0,,,,,Unknown
2021,Austria,Austria,STR,Aston Martin,46.0,2.0,HARD,32.0,7100.169,15.0,9.0,,,,Unknown
2021,Austria,Austria,TSU,AlphaTauri,12.0,1.0,SOFT,15.0,4676.159,10.0,,,,,Unknown
2021,Austria,Austria,TSU,AlphaTauri,51.0,2.0,HARD,39.0,7437.419,9.0,10.0,,,,Unknown
2021,Austria,Austria,VER,Red Bull Racing,32.0,1.0,MEDIUM,35.0,6043.035,1.0,,,,,Unknown
2021,Austria,Austria,VER,Red Bull Racing,60.0,2.0,HARD,28.0,7983.809,1.0,1.0,,,,Unknown
2021,Austria,Austria,VET,Aston Martin,17.0,1.0,SOFT,20.0,5034.869,9.0,,,,,Unknown
2021,Austria,Austria,VET,Aston Martin,49.0,2.0,HARD,32.0,7300.456,10.0,9.0,,,,Unknown
2021,Azerbaijan,Azerbaijan,ALO,Alpine,7.0,1.0,SOFT,10.0,2815.89,11.0,,,,,Unknown
2021,Azerbaijan,Azerbaijan,ALO,Alpine,47.0,3.0,SOFT,15.0,7444.301,10.0,11.0,,,,Unknown
