Season,Team,Compound,typical_stint_length,avg_pace_on_compound,total_laps_on_compound
2021,Alfa Romeo Racing,HARD,17.4,87.5,960
2021,Alfa Romeo Racing,INTERMEDIATE,13.5,97.555,168
2021,Alfa Romeo Racing,MEDIUM,15.1,88.572,928
2021,Alfa Romeo Racing,SOFT,13.0,85.776,193
2021,AlphaTauri,HARD,17.9,84.729,997
2021,AlphaTauri,INTERMEDIATE,13.5,96.729,154
2021,AlphaTauri,MEDIUM,16.9,88.345,656
2021,AlphaTauri,SOFT,11.2,86.703,305
2021,AlphaTauri,WET,7.5,115.651,14
2021,Alpine,HARD,17.9,91.794,905
2021,Alpine,INTERMEDIATE,17.8,98.265,169
2021,Alpine,MEDIUM,18.2,84.533,794
2021,Alpine,SOFT,14.6,88.172,371
2021,Aston Martin,HARD,17.2,86.743,904
2021,Aston Martin,INTERMEDIATE,11.7,99.983,169
2021,Aston Martin,MEDIUM,14.0,87.395,777
2021,Aston Martin,SOFT,14.2,87.087,408
2021,Ferrari,HARD,16.1,86.462,950
2021,Ferrari,INTERMEDIATE,14.2,96.251,172
2021,Ferrari,MEDIUM,16.3,87.266,850
2021,Ferrari,SOFT,15.1,87.343,274
2021,Haas F1 Team,HARD,15.2,91.47,681
2021,Haas F1 Team,INTERMEDIATE,13.8,98.645,141
2021,Haas F1 Team,MEDIUM,14.9,88.127,812
2021,Haas F1 Team,SOFT,11.8,94.579,306
2021,Haas F1 Team,WET,5.6,125.373,16
2021,McLaren,HARD,22.1,87.314,1028
2021,McLaren,INTERMEDIATE,15.3,97.326,172
2021,McLaren,MEDIUM,16.8,88.357,726
2021,McLaren,SOFT,15.0,87.637,361
2021,Mercedes,HARD,14.9,86.501,923
2021,Mercedes,INTERMEDIATE,10.5,102.455,184
2021,Mercedes,MEDIUM,15.9,88.393,874
2021,Mercedes,SOFT,13.1,81.526,211
2021,Red Bull Racing,HARD,13.4,85.655,815
2021,Red Bull Racing,INTERMEDIATE,14.0,95.971,172
2021,Red Bull Racing,MEDIUM,15.8,88.314,927
2021,Red Bull Racing,SOFT,13.1,87.605,294
2021,Williams,HARD,17.7,86.697,1150
2021,Williams,INTERMEDIATE,14.1,97.482,142
2021,Williams,MEDIUM,11.9,91.146,747
2021,Williams,SOFT,8.2,93.67,145
2022,Alfa Romeo,HARD,17.6,90.921,687
2022,Alfa Romeo,INTERMEDIATE,9.0,112.828,115
2022,Alfa Romeo,MEDIUM,13.5,89.736,839
2022,Alfa Romeo,SOFT,11.2,92.249,378
2022,Alfa Romeo,WET,10.3,105.832,39
2022,AlphaTauri,HARD,16.8,89.385,706
2022,AlphaTauri,INTERMEDIATE,9.7,109.83,164
2022,AlphaTauri,MEDIUM,12.1,89.705,707
2022,AlphaTauri,SOFT,10.0,90.258,557
2022,Alpine,HARD,14.9,95.489,897
2022,Alpine,INTERMEDIATE,10.1,115.034,103
2022,Alpine,MEDIUM,11.2,85.234,790
2022,Alpine,SOFT,10.5,92.732,346
2022,Alpine,WET,11.0,103.134,42
2022,Aston Martin,HARD,18.8,92.63,736
2022,Aston Martin,INTERMEDIATE,11.4,106.496,173
2022,Aston Martin,MEDIUM,12.3,93.486,886
2022,Aston Martin,SOFT,11.7,89.973,450
2022,Ferrari,HARD,18.3,86.909,593
2022,Ferrari,INTERMEDIATE,13.4,113.386,102
2022,Ferrari,MEDIUM,10.1,87.129,894
2022,Ferrari,SOFT,11.4,88.663,475
2022,Ferrari,WET,10.3,102.071,39
2022,Haas F1 Team,HARD,16.1,95.575,670
2022,Haas F1 Team,INTERMEDIATE,11.9,114.683,149
2022,Haas F1 Team,MEDIUM,13.4,93.037,889
2022,Haas F1 Team,SOFT,13.0,92.189,330
2022,Haas F1 Team,WET,8.7,110.36,23
2022,McLaren,HARD,15.5,91.769,868
2022,McLaren,INTERMEDIATE,12.1,109.863,147
2022,McLaren,MEDIUM,11.0,88.999,822
2022,McLaren,SOFT,9.5,92.144,366
2022,McLaren,WET,9.5,105.795,36
2022,Mercedes,HARD,16.0,95.453,793
2022,Mercedes,INTERMEDIATE,13.0,113.214,130
2022,Mercedes,MEDIUM,14.2,87.733,986
2022,Mercedes,SOFT,12.4,92.129,335
2022,Mercedes,WET,9.8,104.451,36
2022,Red Bull Racing,HARD,11.6,94.162,610
2022,Red Bull Racing,INTERMEDIATE,12.9,104.92,153
2022,Red Bull Racing,MEDIUM,12.5,88.472,1009
2022,Red Bull Racing,SOFT,10.2,93.982,466
2022,Red Bull Racing,WET,9.0,103.896,34
2022,Williams,HARD,17.4,94.255,724
2022,Williams,INTERMEDIATE,11.0,113.123,86
2022,Williams,MEDIUM,11.6,90.432,878
2022,Williams,SOFT,10.1,91.079,422
2022,Williams,WET,9.1,113.788,19
