Compound,TyreLife,avg_lap_time_sec,lap_time_std_dev,sample_size
HARD,1.0,106.82,15.264,510
HARD,2.0,92.791,16.243,546
HARD,3.0,91.939,15.78,559
HARD,4.0,91.643,15.473,556
HARD,5.0,91.585,15.048,569
HARD,6.0,90.247,12.889,562
HARD,7.0,90.542,13.777,568
HARD,8.0,89.932,12.799,564
HARD,9.0,90.394,13.658,564
HARD,10.0,90.095,13.054,560
HARD,11.0,89.913,12.771,559
HARD,12.0,89.488,12.355,554
HARD,13.0,89.606,12.788,547
HARD,14.0,89.478,12.511,536
HARD,15.0,89.132,12.474,526
HARD,16.0,88.73,11.95,513
HARD,17.0,89.347,12.806,507
HARD,18.0,89.67,13.774,497
HARD,19.0,89.383,13.449,478
HARD,20.0,88.954,13.598,453
HARD,21.0,88.22,12.533,436
HARD,22.0,88.553,12.97,428
HARD,23.0,88.474,12.774,413
HARD,24.0,89.488,14.291,395
HARD,25.0,88.729,13.487,371
HARD,26.0,88.145,12.176,362
HARD,27.0,88.188,11.65,349
HARD,28.0,88.558,11.944,332
HARD,29.0,89.088,12.67,312
HARD,30.0,89.372,12.934,290
HARD,31.0,89.766,13.096,267
HARD,32.0,90.676,15.356,247
HARD,33.0,89.098,12.757,230
HARD,34.0,88.985,13.525,215
HARD,35.0,87.31,11.499,180
HARD,36.0,87.476,14.189,152
HARD,37.0,85.711,12.507,132
HARD,38.0,85.393,13.378,107
HARD,39.0,84.689,12.567,88
HARD,40.0,84.054,12.205,75
HARD,41.0,85.1,15.108,65
HARD,42.0,84.556,12.48,50
HARD,43.0,84.774,14.596,43
HARD,44.0,83.931,15.148,33
HARD,45.0,81.149,6.478,27
HARD,46.0,80.379,6.332,24
HARD,47.0,82.516,8.769,21
HARD,48.0,80.692,5.068,17
INTERMEDIATE,1.0,126.389,15.334,168
INTERMEDIATE,2.0,115.905,19.535,131
INTERMEDIATE,3.0,115.112,17.657,131
INTERMEDIATE,4.0,115.069,18.205,132
INTERMEDIATE,5.0,108.814,15.857,132
INTERMEDIATE,6.0,107.013,13.696,131
INTERMEDIATE,7.0,103.537,11.08,126
INTERMEDIATE,8.0,104.623,15.424,124
INTERMEDIATE,9.0,98.999,7.911,106
INTERMEDIATE,10.0,99.344,10.294,105
INTERMEDIATE,11.0,101.284,11.344,116
INTERMEDIATE,12.0,100.685,10.751,112
INTERMEDIATE,13.0,100.737,11.133,109
INTERMEDIATE,14.0,100.675,11.812,108
INTERMEDIATE,15.0,100.182,11.108,106
INTERMEDIATE,16.0,100.011,11.174,105
INTERMEDIATE,17.0,100.515,11.961,104
INTERMEDIATE,18.0,100.921,12.471,96
INTERMEDIATE,19.0,101.04,12.267,85
INTERMEDIATE,20.0,101.808,12.452,80
INTERMEDIATE,21.0,103.954,16.833,75
INTERMEDIATE,22.0,102.506,18.856,58
INTERMEDIATE,23.0,101.61,13.17,58
INTERMEDIATE,24.0,101.984,14.406,54
INTERMEDIATE,25.0,100.02,12.352,49
INTERMEDIATE,26.0,106.279,20.981,50
INTERMEDIATE,27.0,102.675,14.779,46
INTERMEDIATE,28.0,108.161,19.423,40
INTERMEDIATE,29.0,99.693,12.716,23
INTERMEDIATE,30.0,107.933,16.143,33
INTERMEDIATE,31.0,105.401,12.622,32
INTERMEDIATE,32.0,105.39,13.327,31
INTERMEDIATE,33.0,106.424,13.038,32
INTERMEDIATE,34.0,106.918,14.041,31
INTERMEDIATE,35.0,104.254,12.604,24
INTERMEDIATE,36.0,101.903,14.964,17
MEDIUM,1.0,107.925,17.625,608
MEDIUM,2.0,95.186,16.619,628
MEDIUM,3.0,93.961,16.171,659
MEDIUM,4.0,94.428,16.27,719
MEDIUM,5.0,94.123,16.079,737
MEDIUM,6.0,93.67,14.494,745
MEDIUM,7.0,92.237,13.381,740
MEDIUM,8.0,92.081,13.663,742
MEDIUM,9.0,92.785,14.554,737
MEDIUM,10.0,90.748,12.511,719
MEDIUM,11.0,90.091,11.875,709
MEDIUM,12.0,90.435,11.522,694
MEDIUM,13.0,89.755,11.055,675
MEDIUM,14.0,89.404,11.12,651
MEDIUM,15.0,88.566,10.859,613
MEDIUM,16.0,88.296,10.927,584
MEDIUM,17.0,88.184,11.266,548
MEDIUM,18.0,87.759,11.203,509
MEDIUM,19.0,86.774,9.817,471
MEDIUM,20.0,86.914,10.468,432
MEDIUM,21.0,86.257,9.585,395
MEDIUM,22.0,85.958,9.757,356
MEDIUM,23.0,85.349,9.232,331
MEDIUM,24.0,84.681,8.801,301
MEDIUM,25.0,84.602,9.525,274
MEDIUM,26.0,84.383,9.049,259
MEDIUM,27.0,83.646,7.753,232
MEDIUM,28.0,83.139,7.005,205
MEDIUM,29.0,83.159,7.617,186
MEDIUM,30.0,83.756,6.984,175
MEDIUM,31.0,83.35,8.206,150
MEDIUM,32.0,82.598,6.721,137
MEDIUM,33.0,82.36,5.973,124
MEDIUM,34.0,83.103,7.224,112
MEDIUM,35.0,83.504,7.323,92
MEDIUM,36.0,82.544,4.754,72
MEDIUM,37.0,82.269,4.457,59
MEDIUM,38.0,81.992,3.338,53
MEDIUM,39.0,82.17,3.251,50
MEDIUM,40.0,83.083,4.74,46
MEDIUM,41.0,82.174,3.186,36
MEDIUM,42.0,82.154,3.241,34
MEDIUM,43.0,83.089,3.499,30
MEDIUM,44.0,82.123,1.908,25
MEDIUM,45.0,82.957,3.809,18
SOFT,1.0,109.393,17.958,199
SOFT,2.0,98.432,18.882,210
SOFT,3.0,96.596,17.927,218
SOFT,4.0,99.694,17.19,388
SOFT,5.0,94.396,15.297,401
SOFT,6.0,93.985,15.857,392
SOFT,7.0,92.13,14.97,395
SOFT,8.0,90.434,12.928,388
SOFT,9.0,90.674,13.442,379
